_id,site,datetime,stat,BCSTAT,BCSTAT_txt,BP,BP_txt,CO,CO_txt,H2S,H2S_txt,INT_T,INT_T_txt,NO,NO_txt,NO2,NO2_txt,NOX,NOX_txt,NOY,NOY_txt,NOYDIF,NOYDIF_txt,OUT_RH,OUT_RH_txt,OUT_T,OUT_T_txt,OZONE,OZONE_txt,OZONE2,OZONE2_txt,PER_F,PER_F_txt,PER_F2,PER_F2_txt,PM10,PM10_txt,PM10_FL,PM10_FL_txt,PM10B,PM10B_txt,PM25,PM25_txt,PM25(2),PM25(2)_txt,PM25_FL,PM25_FL_txt,PM25B,PM25B_txt,PM25T,PM25T_txt,RWD,RWD_txt,RWS,RWS_txt,SIGTHETA,SIGTHETA_txt,SO2,SO2_txt,SONICWD,SONICWD_txt,SONICWS,SONICWS_txt,UVPM,UVPM_txt
667,Glassport High Street,2016-01-16T00:00:00,Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,Glassport High Street,2016-01-16T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Glassport High Street,2016-01-16T00:00:00,Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,Glassport High Street,2016-01-16T00:00:00,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Avalon,2016-02-01T00:00:00,Count,,,24,,,,,,23,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,24,,23,,24,,24,,,
671,Glassport High Street,2016-01-16T00:00:00,Hr. of Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,Glassport High Street,2016-01-16T00:00:00,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,Lawrenceville 2,2016-02-16T00:00:00,Max,,,,,351.1,,,,22.7,,15.2,,,,,,43.6,,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,
673,Glassport High Street,2016-01-17T00:00:00,Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,Glassport High Street,2016-01-17T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
